ano,id_municipio,distritos_sp,bairros_sp,total_empregos
2021,3550308,21,821,3745
2021,3550308,66,1257,42604
2021,3550308,36,254,6727
2021,3550308,93,1372,14287
2021,3550308,96,714,1249
2021,3550308,14,1345,2702
2021,3550308,41,302,203
2021,3550308,96,1667,624
2021,3550308,16,649,269
2021,3550308,88,948,219
2021,3550308,51,1859,2793
2021,3550308,47,90,1044
2021,3550308,96,776,642
2021,3550308,46,1045,41278
2021,3550308,96,1021,1121
2021,3550308,34,365,1122
2021,3550308,83,1119,195
2021,3550308,76,1274,4113
2021,3550308,17,436,1179
2021,3550308,49,1167,2252
2021,3550308,89,1765,6344
2021,3550308,54,245,912
2021,3550308,16,758,264
2021,3550308,35,1716,836
2021,3550308,92,1800,1093
2021,3550308,84,1080,2676
2021,3550308,91,74,315
2021,3550308,39,1135,1944
2021,3550308,31,855,557
2021,3550308,1,64,331
2021,3550308,72,1878,286
2021,3550308,44,1183,1569
2021,3550308,1,1316,578
2021,3550308,64,416,386
2021,3550308,69,21,1231
2021,3550308,87,1712,760
2021,3550308,32,1677,3350
2021,3550308,48,1492,1518
2021,3550308,82,,1766
2021,3550308,12,1741,611
2021,3550308,76,1390,687
2021,3550308,61,1736,1808
2021,3550308,2,1569,1071
2021,3550308,66,99,21064
2021,3550308,79,115,792
2021,3550308,92,507,295
2021,3550308,31,80,443
2021,3550308,68,1281,2430
2021,3550308,63,1721,858
2021,3550308,50,84,297
2021,3550308,40,1049,652
2021,3550308,15,1472,1712
2021,3550308,14,1264,2860
2021,3550308,55,1250,178
2021,3550308,21,1597,1240
2021,3550308,75,1276,3166
2021,3550308,63,1090,493
2021,3550308,7,201,12085
2021,3550308,1,1610,226
2021,3550308,16,565,603
2021,3550308,74,1631,2159
2021,3550308,21,765,182
2021,3550308,78,1218,825
2021,3550308,28,1301,1151
2021,3550308,38,1797,712
2021,3550308,62,1310,2279
2021,3550308,62,789,16927
2021,3550308,65,473,2328
2021,3550308,22,448,306
2021,3550308,45,232,1617
2021,3550308,36,1508,1412
2021,3550308,22,1126,739
2021,3550308,24,63,376
2021,3550308,14,254,141
2021,3550308,15,1507,721
2021,3550308,78,462,204
2021,3550308,12,,816
2021,3550308,,142,12
2021,3550308,46,1286,119
2021,3550308,42,318,103
2021,3550308,73,1463,85
2021,3550308,90,1009,120
2021,3550308,78,222,409
2021,3550308,90,,7571
2021,3550308,18,869,645
2021,3550308,16,1152,209
2021,3550308,6,1453,235
2021,3550308,22,1009,101
2021,3550308,59,1803,43
2021,3550308,27,337,1144
2021,3550308,5,1705,1991
2021,3550308,74,1264,1071
2021,3550308,69,,2813
2021,3550308,16,1754,1938
2021,3550308,96,404,1098
2021,3550308,14,1069,265
2021,3550308,45,292,922
2021,3550308,35,36,9184
2021,3550308,28,2,2076
2021,3550308,74,1712,392
2021,3550308,66,53,271
2021,3550308,63,1371,893
2021,3550308,68,1019,924
2021,3550308,70,1280,1525
2021,3550308,64,1801,438
2021,3550308,15,418,896
2021,3550308,60,1310,730
2021,3550308,25,22,9034
